timeindex,AT-hydro-phs,AT-hydro-reservoir,AT-lithium-battery,BE-hydro-phs,BE-hydro-reservoir,BE-lithium-battery,CH-hydro-phs,CH-hydro-reservoir,CH-lithium-battery,CZ-hydro-phs,CZ-hydro-reservoir,CZ-lithium-battery,DE-flex-decentral_heat-tes,DE-hydro-phs,DE-hydro-reservoir,DE-lithium-battery,DK-lithium-battery,FR-hydro-phs,FR-hydro-reservoir,FR-lithium-battery,LU-hydro-phs,LU-hydro-reservoir,LU-lithium-battery,NL-lithium-battery,NO-hydro-phs,NO-hydro-reservoir,PL-hydro-phs,PL-lithium-battery,SE-hydro-reservoir,SE-lithium-battery
2030-01-02 16:00:00,181559.387577,2300985.23214,516.92355,4600.0,49587.9659902,680.97315,404182.665606,5276397.24759,577.02645,5000.0,2433.59253919,5260.67685,34273.5804129,58749.6,80964.6772065,33569.25,1866.15,82500.0,6412752.9049,7335.9,4104.0,746687.636825,215.03625,2879.1906,350018.312,101181342.509,7350.46129873,8768.90520072,52705140.4037,6885.2784
2030-01-02 17:00:00,181559.387577,2297637.32748,516.92355,4600.0,49482.6689875,680.97315,404182.665606,5272134.52176,577.02645,5000.0,2423.63359603,5260.67685,34273.5804129,58749.6,80742.8666922,33569.25,1866.15,82500.0,6410671.39863,7335.9,4104.0,746769.559125,215.03625,2879.1906,350018.312,101159502.19,7350.46129873,8768.90520072,52693784.911,6885.2784
2030-01-02 18:00:00,181559.387577,2294603.05819,516.92355,4600.0,49377.3881324,680.97315,404182.665606,5265006.47563,577.02645,5000.0,2413.66934149,5260.67685,34273.5804129,58749.6,80520.6438015,33569.25,1866.15,82500.0,6408583.7397,7335.9,4104.0,746851.506526,215.03625,2879.1906,350018.312,101132658.763,7350.46129873,8768.90520072,52682427.0042,6885.2784
2030-01-02 19:00:00,181559.387577,2292070.40445,516.92355,4600.0,49272.1231936,680.97315,404182.665606,5260847.79967,577.02645,5000.0,2403.69931697,5260.67685,34273.5804129,58749.6,80298.0180122,33569.25,1866.15,82500.0,6406489.9176,7335.9,4104.0,746933.478668,215.03625,2879.1906,350018.312,101105853.158,7350.46129873,8768.90520072,52671066.6941,6885.2784
2030-01-02 20:00:00,181559.387577,2290463.94845,516.92355,4600.0,49166.8739025,680.97315,404182.665606,5258309.00034,577.02645,5000.0,2393.72303354,5260.67685,34273.5804129,58749.6,80074.9996327,33569.25,1866.15,82500.0,6404389.9236,7335.9,4104.0,747015.475133,215.03625,2879.1906,350018.312,101084403.272,7350.46129873,8768.90520072,52659703.9947,6885.2784
2030-01-02 21:00:00,181559.387577,2288528.26847,516.92355,4600.0,49061.639953,680.97315,404182.665606,5253078.58583,577.02645,5000.0,2383.73997198,5260.67685,34273.5804129,58749.6,79851.599803,33569.25,1866.15,82500.0,6402283.75073,7335.9,4104.0,746813.495444,215.03625,2879.1906,350018.312,101063201.417,7350.46129873,8768.90520072,52648338.9231,6885.2784
2030-01-02 22:00:00,181559.387577,2287041.79913,516.92355,4600.0,48956.4210014,680.97315,404182.665606,5250678.6285,577.02645,5000.0,2373.74958272,5260.67685,34273.5804129,58749.6,79627.8304937,33569.25,1866.15,82500.0,6400171.39376,7335.9,4104.0,746895.539069,215.03625,2879.1906,350018.312,101036464.246,7350.46129873,8768.90520072,52636971.4994,6885.2784
2030-01-02 23:00:00,181559.387577,2288362.64473,516.92355,4600.0,49009.2166666,680.97315,404182.665606,5247245.53587,577.02645,5000.0,2363.75128592,5260.67685,34273.5804129,58749.6,79403.7045067,33569.25,1866.15,82500.0,6398052.84925,7335.9,4104.0,746977.605414,215.03625,2879.1906,350018.312,101016420.815,7350.46129873,8768.90520072,52625601.7469,6885.2784
2030-01-03 00:00:00,181559.387577,2289682.70753,516.92355,4600.0,49062.0265303,680.97315,404182.665606,5243806.27662,577.02645,5000.0,2353.7444714,5260.67685,34273.5804129,58749.6,79179.2354751,33569.25,1866.15,82500.0,6395928.11552,7335.9,4104.0,747059.69383,215.03625,2879.1906,350018.312,100996751.741,7350.46129873,8768.90520072,52614229.692,6885.2784
2030-01-03 01:00:00,181559.387577,2291001.98355,516.92355,4600.0,49114.8501453,680.97315,404182.665606,5241260.97926,577.02645,5000.0,2343.72852216,5260.67685,34273.5804129,58749.6,78954.437209,33569.25,1866.15,82500.0,6393797.19162,7335.9,4104.0,747141.803621,215.03625,2879.1906,350018.312,100970003.677,7350.46129873,8768.90520072,52602855.3632,6885.2784
2030-01-03 02:00:00,181559.387577,2292320.469,516.92355,4600.0,49167.6870718,680.97315,404182.665606,5238841.11786,577.02645,5000.0,2333.70290824,5260.67685,34273.5804129,58749.6,78729.3210802,33569.25,1866.15,82500.0,6391660.07322,7335.9,4104.0,747223.934103,215.03625,2879.1906,350018.312,100950343.474,7350.46129873,8768.90520072,52591478.7872,6885.2784
2030-01-03 03:00:00,181559.387577,2291763.67989,516.92355,4600.0,49220.5368858,680.97315,404182.665606,5236446.15242,577.02645,5000.0,2323.66721023,5260.67685,34273.5804129,58749.6,78503.8953682,33569.25,1866.15,82500.0,6389516.75156,7335.9,4104.0,747306.084618,215.03625,2879.1906,350018.312,100930373.355,7350.46129873,9689.97315,52580099.9881,6885.2784
2030-01-03 04:00:00,181559.387577,2289279.55836,516.92355,4600.0,49115.3991795,680.97315,404182.665606,5232279.8403,577.02645,5000.0,2313.62111924,5260.67685,34273.5804129,58749.6,78278.16526,33569.25,1866.15,82500.0,6387367.21349,7335.9,4104.0,747388.254532,215.03625,2879.1906,350018.312,100903532.324,7350.46129873,9689.97315,52568718.987,6885.2784
2030-01-03 05:00:00,181559.387577,2285808.1337,516.92355,4600.0,49010.2735609,680.97315,404182.665606,5225134.99306,577.02645,5000.0,2303.56443691,5260.67685,32738.7359362,58749.6,78052.1328508,33569.25,1866.15,82500.0,6385211.44142,7335.9,4104.0,747470.443235,215.03625,2879.1906,350018.312,100876644.848,7350.46129873,9689.97315,52557335.8024,6885.2784
